dispth;eth;comnum;vcount;modularity
0.01;10;122;95932;0.312462554291
0.01;10;6;95932;0.318438418113
0.01;15;207;94879;0.314816841665
0.01;15;28;94879;0.319986252762
0.01;20;276;92945;0.316060524059
0.01;20;55;92945;0.321494104533
0.01;25;322;90828;0.313761764027
0.01;25;76;90828;0.3217602114
0.01;30;378;88870;0.314217441755
0.01;30;94;88870;0.322036818658
0.01;35;412;86283;0.314425392962
0.01;35;95;86283;0.322376671208
0.01;40;421;80601;0.311846491574
0.01;40;95;80601;0.321627621734
0.01;45;403;72940;0.31341549158
0.01;45;89;72940;0.321420421263
0.01;50;378;65380;0.312560621682
0.01;50;92;65380;0.320658244429
0.01;55;371;59052;0.308141389694
0.01;55;102;59052;0.319028917696
0.01;60;360;53761;0.307712574017
0.01;60;95;53761;0.318646318809
0.01;60;94;53761;0.318646578018
0.01;65;331;49253;0.306868804861
0.01;65;79;49253;0.317591747968
0.01;65;78;49253;0.317591785481
0.01;70;326;45258;0.306490891858
0.01;70;79;45258;0.31729240472
0.01;75;316;41867;0.305909774461
0.01;75;74;41867;0.316713889681
0.01;80;306;38962;0.305086358691
0.01;80;73;38962;0.316096554406
0.01;85;299;36410;0.304758711391
0.01;85;75;36410;0.315685101129
0.01;90;278;34128;0.304041062001
0.01;90;74;34128;0.314949312676
0.01;95;262;32131;0.303334777949
0.01;95;81;32131;0.314211186661
0.01;100;251;30311;0.302800921216
0.01;100;78;30311;0.313833536709
0.01;105;241;28713;0.304395799087
0.01;105;73;28713;0.3133216841
0.01;110;255;27200;0.300659304087
0.01;110;69;27200;0.313586248416
0.01;115;250;25916;0.300404960407
0.01;115;68;25916;0.313232722329
0.01;120;241;24668;0.300059724673
0.01;120;66;24668;0.312783457172
0.01;125;232;23535;0.299345988242
0.01;125;62;23535;0.312299131476
0.01;130;232;22514;0.298338558932
0.01;130;66;22514;0.311350791137
0.01;135;218;21554;0.297883665852
0.01;135;65;21554;0.310940598338
0.01;140;204;20643;0.29743946655
0.01;140;60;20643;0.310397154115
0.01;145;197;19835;0.29599327931
0.01;145;60;19835;0.309527356269
0.01;145;59;19835;0.311950929816
0.01;150;203;19028;0.297320404356
0.01;150;58;19028;0.311426026545
0.01;155;197;18303;0.293030394259
0.01;155;55;18303;0.309991403905
0.01;160;188;17655;0.295473787105
0.01;160;53;17655;0.308827071007
0.01;160;52;17655;0.311055847554
0.01;165;181;17038;0.293800549852
0.01;165;54;17038;0.307781604593
0.01;165;52;17038;0.309818342116
0.01;170;172;16428;0.289983764635
0.01;170;49;16428;0.30779565822
0.01;175;172;15897;0.289777373475
0.01;175;51;15897;0.305719237382
0.01;175;50;15897;0.305738581332
0.01;180;167;15381;0.291880397136
0.01;180;49;15381;0.306268318887
0.01;185;159;14890;0.291966764763
0.01;185;47;14890;0.306542059624
0.01;190;158;14455;0.292859686186
0.01;190;48;14455;0.306846212704
0.01;190;47;14455;0.306854826282
0.01;195;152;14025;0.291609102891
0.01;195;45;14025;0.306641459841
0.01;200;150;13630;0.291269212387
0.01;200;44;13630;0.306425318691
0.015;10;250;83589;0.422196812152
0.015;10;53;83589;0.429582631017
0.015;15;373;79708;0.429278716419
0.015;15;126;79708;0.437447144934
0.015;15;125;79708;0.437447878494
0.015;20;470;76352;0.432866476306
0.015;20;181;76352;0.442243694838
0.015;20;180;76352;0.442243939454
0.015;25;560;73748;0.436108340094
0.015;25;221;73748;0.446031370263
0.015;30;617;71631;0.439288507307
0.015;30;252;71631;0.449037248671
0.015;30;251;71631;0.449038376972
0.015;35;657;69407;0.441097106535
0.015;35;262;69407;0.451555458193
0.015;35;261;69407;0.451556391991
0.015;40;648;64864;0.442310398486
0.015;40;261;64864;0.453212952767
0.015;40;259;64864;0.453218110472
0.015;45;629;58630;0.436882710555
0.015;45;250;58630;0.45271247793
0.015;45;248;58630;0.45297043673
0.015;50;588;52488;0.436915084794
0.015;50;218;52488;0.45268599422
0.015;50;216;52488;0.452997962156
0.015;55;542;47236;0.441668773916
0.015;55;205;47236;0.454042270441
0.015;55;203;47236;0.454339874255
0.015;60;517;42835;0.437968855335
0.015;60;189;42835;0.453757851109
0.015;60;188;42835;0.45403678581
0.015;65;486;39132;0.438042434895
0.015;65;175;39132;0.454146941214
0.015;65;174;39132;0.454461030636
0.015;70;470;35888;0.437974134687
0.015;70;177;35888;0.454110321154
0.015;70;176;35888;0.454199175385
0.015;75;450;33107;0.438199550825
0.015;75;170;33107;0.454424356676
0.015;75;169;33107;0.454467731689
0.015;80;429;30751;0.437981733309
0.015;80;161;30751;0.454422180212
0.015;85;409;28672;0.439429831186
0.015;85;153;28672;0.454974719928
0.015;90;385;26789;0.439506668521
0.015;90;147;26789;0.454854484673
0.015;95;373;25167;0.443490442004
0.015;95;149;25167;0.456010632491
0.015;100;363;23707;0.443788412693
0.015;100;144;23707;0.456079735213
0.015;105;345;22370;0.443753640479
0.015;105;132;22370;0.456189659736
