dispth;eth;comnum;vcount;modularity
0.01;10;146;95319;0.345536418672
0.01;10;12;95319;0.349028736911
0.01;15;232;92508;0.347407336208
0.01;15;52;92508;0.350789366638
0.01;20;316;89347;0.348469996803
0.01;20;83;89347;0.351020545016
0.01;25;387;86863;0.349269445627
0.01;25;119;86863;0.351840998827
0.01;30;439;83859;0.349656429484
0.01;30;132;83859;0.351939018426
0.01;35;451;77085;0.348417067785
0.01;35;118;77085;0.351678937582
0.01;40;421;68376;0.347946402477
0.01;40;100;68376;0.351116364631
0.01;45;416;60200;0.347038324318
0.01;45;101;60200;0.350329435574
0.01;45;100;60200;0.350329801788
0.01;50;395;53549;0.346599867456
0.01;50;91;53549;0.350391686661
0.01;50;90;53549;0.350391999161
0.01;55;369;48150;0.346078510016
0.01;55;92;48150;0.34986094505
0.01;60;358;43654;0.345562112048
0.01;60;99;43654;0.349355800199
0.01;60;98;43654;0.34935618605
0.01;65;336;39719;0.344874880565
0.01;65;84;39719;0.348489125327
0.01;70;318;36416;0.344532886896
0.01;70;81;36416;0.348372837135
0.01;70;80;36416;0.348372837737
0.01;75;292;33661;0.344139953396
0.01;75;77;33661;0.348102430281
0.01;80;284;31209;0.343949501279
0.01;80;74;31209;0.34779584223
0.01;85;275;29092;0.343717283487
0.01;85;75;29092;0.347417475774
0.01;90;265;27219;0.3434594974
0.01;90;75;27219;0.347377304819
0.01;95;253;25543;0.343556898893
0.01;95;78;25543;0.347871735612
0.01;100;245;24111;0.343497023573
0.01;100;76;24111;0.347815679712
0.01;105;224;22762;0.343740582036
0.01;105;77;22762;0.347629035304
0.01;110;211;21544;0.343752927039
0.01;110;69;21544;0.347601040794
0.01;115;209;20408;0.343102112654
0.01;115;70;20408;0.347196490786
0.01;120;217;19386;0.343191540794
0.01;120;67;19386;0.34705302866
0.01;125;207;18432;0.342796721343
0.01;125;60;18432;0.346752292874
0.01;130;208;17606;0.342625886893
0.01;130;53;17606;0.34669508304
0.01;135;210;16864;0.342476290194
0.01;135;55;16864;0.346349143727
0.01;140;195;16153;0.342591851976
0.01;140;56;16153;0.346523154766
0.01;145;193;15498;0.342567002764
0.01;145;54;15498;0.346298904507
0.01;150;190;14918;0.342460906089
0.01;150;52;14918;0.346179704839
0.01;155;181;14350;0.341764800422
0.01;155;51;14350;0.345708068503
0.01;160;173;13839;0.342295640232
0.01;160;53;13839;0.346508731414
0.01;165;172;13371;0.342429811515
0.01;165;57;13371;0.34674425207
0.01;170;167;12925;0.342825323557
0.01;170;54;12925;0.346812075585
0.01;175;161;12496;0.342112075856
0.01;175;52;12496;0.3464465643
0.01;180;160;12095;0.342091454418
0.01;180;50;12095;0.346572594013
0.01;185;156;11703;0.342292817053
0.01;185;50;11703;0.346360321158
0.01;190;150;11341;0.342579637867
0.01;190;45;11341;0.34702506169
0.01;195;147;11028;0.342496003828
0.01;195;50;11028;0.346442943438
0.01;195;49;11028;0.346460065722
0.01;200;143;10665;0.342627306077
0.01;200;47;10665;0.346715592259
0.01;200;46;10665;0.346746776654
0.015;10;248;80670;0.429515157087
0.015;10;69;80670;0.449126518113
0.015;15;332;75889;0.436509887278
0.015;15;143;75889;0.458676816012
0.015;15;142;75889;0.458678263137
0.015;20;443;72454;0.442795814351
0.015;20;193;72454;0.462184734352
0.015;25;543;69873;0.454752476519
0.015;25;243;69873;0.466536315832
0.015;25;242;69873;0.466536512796
0.015;30;577;67187;0.456169508927
0.015;30;242;67187;0.468714560698
0.015;35;588;61709;0.458045698189
0.015;35;244;61709;0.470564856773
0.015;40;560;54695;0.459109381614
0.015;40;220;54695;0.472282997006
0.015;45;533;48076;0.459893389888
0.015;45;211;48076;0.473013151583
0.015;50;505;42670;0.459894790912
0.015;50;192;42670;0.472993707332
0.015;50;191;42670;0.472993810932
0.015;55;467;38240;0.463870188442
0.015;55;180;38240;0.474797493948
