dispth;eth;comnum;vcount;modularity
0.01;10;203;94716;0.324735586233
0.01;10;26;94716;0.331174860254
0.01;10;25;94716;0.331175228005
0.01;15;317;91383;0.325579719247
0.01;15;63;91383;0.331788970637
0.01;20;370;88068;0.326356573472
0.01;20;98;88068;0.332165189256
0.01;20;97;88068;0.332165402577
0.01;25;390;82415;0.316671569438
0.01;25;106;82415;0.331081885916
0.01;30;408;71220;0.322237143785
0.01;30;104;71220;0.330867120281
0.01;35;367;60631;0.321964443392
0.01;35;93;60631;0.330285253959
0.01;40;342;52233;0.312349513386
0.01;40;80;52233;0.327472618384
0.01;45;320;45733;0.319283651928
0.01;45;80;45733;0.327869675595
0.01;50;300;40651;0.317339445862
0.01;50;71;40651;0.326013657517
0.01;55;283;36458;0.316496446035
0.01;55;78;36458;0.325485207172
0.01;60;256;32915;0.315874350096
0.01;60;76;32915;0.324774674627
0.01;65;240;29982;0.315479199556
0.01;65;63;29982;0.324178617533
0.01;70;239;27460;0.314899977795
0.01;70;64;27460;0.323437027514
0.01;75;224;25338;0.314145602666
0.01;75;73;25338;0.322889042514
0.01;80;203;23546;0.314037981167
0.01;80;64;23546;0.322406578279
0.01;85;203;21935;0.309361193744
0.01;85;69;21935;0.320488087905
0.01;90;197;20492;0.308909462649
0.01;90;67;20492;0.319936313724
0.01;95;184;19290;0.30857806547
0.01;95;67;19290;0.319577382559
0.01;100;183;18132;0.307973229262
0.01;100;65;18132;0.318618163435
0.01;105;187;17093;0.307292424444
0.01;105;54;17093;0.318522496695
0.01;110;177;16190;0.306972152649
0.01;110;64;16190;0.318144555462
0.01;115;166;15391;0.306937547935
0.01;115;51;15391;0.318460419298
0.01;120;167;14639;0.306500316897
0.01;120;54;14639;0.317740050361
0.01;125;161;13922;0.305863965705
0.01;125;52;13922;0.317312996676
0.01;130;151;13296;0.305210104948
0.01;130;44;13296;0.316668510771
0.01;135;145;12698;0.304839782103
0.01;135;41;12698;0.316162286224
0.01;140;132;12169;0.30489272297
0.01;140;39;12169;0.316148984178
0.01;145;131;11678;0.304770413459
0.01;145;43;11678;0.316031329052
0.01;150;133;11246;0.303343775611
0.01;150;39;11246;0.316097384784
0.01;155;119;10796;0.302693041486
0.01;155;34;10796;0.315407797811
0.01;160;112;10439;0.304384479186
0.01;160;36;10439;0.31531567083
0.01;165;113;10079;0.303909446115
0.01;165;33;10079;0.314928331398
0.01;170;113;9715;0.303818906319
0.01;170;32;9715;0.314806372205
0.01;175;113;9392;0.303460919549
0.01;175;30;9392;0.314347781006
0.01;180;113;9086;0.30300165057
0.01;180;31;9086;0.314054948128
0.01;185;112;8788;0.302792000002
0.01;185;29;8788;0.313785130265
0.01;190;110;8504;0.30298094215
0.01;190;28;8504;0.313642546948
0.01;195;109;8277;0.302889812202
0.01;195;27;8277;0.314058458575
0.01;200;104;8036;0.301239011081
0.01;200;27;8036;0.312664224595
0.015;10;351;79577;0.428713615855
0.015;10;108;79577;0.4446065508
0.015;10;107;79577;0.444606704407
0.015;15;494;74581;0.434597126366
0.015;15;205;74581;0.45123603174
0.015;15;204;74581;0.451439806631
0.015;20;581;71025;0.439609406369
0.015;20;249;71025;0.455645542155
0.015;20;248;71025;0.455766866096
0.015;25;606;66192;0.443145266558
0.015;25;255;66192;0.459113093863
0.015;25;254;66192;0.459119090126
0.015;30;594;57187;0.444560301201
0.015;30;246;57187;0.460504117483
0.015;30;244;57187;0.460512968664
0.015;35;524;48451;0.444858780912
0.015;35;197;48451;0.460678677644
0.015;35;195;48451;0.460685188465
0.015;40;464;41552;0.445309090154
0.015;40;168;41552;0.461717216316
0.015;40;167;41552;0.461720465001
0.015;45;432;36191;0.445515319146
0.015;45;148;36191;0.461642080339
0.015;50;394;32081;0.44580409785
0.015;50;136;32081;0.462364198405
0.015;50;135;32081;0.46236440684
0.015;55;372;28721;0.445884327486
0.015;55;147;28721;0.462016563693
0.015;60;345;25827;0.446419647654
0.015;60;132;25827;0.462605353406
0.015;65;325;23390;0.446683768144
0.015;65;126;23390;0.463040993482
0.015;70;307;21374;0.447108436746
0.015;70;127;21374;0.463227971117
0.015;70;126;21374;0.463244479473
0.015;75;287;19684;0.447604180043
0.015;75;114;19684;0.464041838527
0.015;80;273;18240;0.447543874404
0.015;80;107;18240;0.464461828077
0.015;85;264;16960;0.447878216288
0.015;85;104;16960;0.46496239136
0.015;90;258;15832;0.448105965982
0.015;90;100;15832;0.465301869189
0.015;95;255;14837;0.448674203618
0.015;95;102;14837;0.466124682032
0.015;100;240;13918;0.448845163814
0.015;100;97;13918;0.466168766702
0.015;105;246;13094;0.447995424319
0.015;105;96;13094;0.466301980998
0.015;110;247;12381;0.448373479736
0.015;110;98;12381;0.466768523216
0.015;115;234;11733;0.448933584879
0.015;115;83;11733;0.467523172665
0.015;120;230;11113;0.449579432437
0.015;120;81;11113;0.468200688945
0.015;125;213;10557;0.449951783654
0.015;125;77;10557;0.468602821138
0.015;130;202;10048;0.450260493252
0.015;130;74;10048;0.469105691459
0.015;135;196;9600;0.45082974724
0.015;135;72;9600;0.469446099176
0.015;140;186;9181;0.45105864587
0.015;140;68;9181;0.469207805356
0.015;145;187;8813;0.451620203533
0.015;145;71;8813;0.470098146375
0.015;150;181;8460;0.452224399203
0.015;150;69;8460;0.470745408304
0.015;155;167;8118;0.452030399798
0.015;155;62;8118;0.470801146625
0.015;160;165;7833;0.452302516975
0.015;160;65;7833;0.471088076242
0.015;165;161;7562;0.453024274695
0.015;165;66;7562;0.47177501435
0.015;170;157;7267;0.452492808559
0.015;170;64;7267;0.471374539675
0.015;175;151;6998;0.453614286006
0.015;175;62;6998;0.471821496542
0.015;180;148;6767;0.454392696691
0.015;180;61;6767;0.472475256054
0.015;180;60;6767;0.472602194111
0.015;185;143;6539;0.454890959069
0.015;185;59;6539;0.472716152992
0.015;185;58;6539;0.472854886132
0.015;190;146;6315;0.457655112099
0.015;190;63;6315;0.473612428052
0.015;190;62;6315;0.473768217439
0.015;195;139;6147;0.458637068991
0.015;195;61;6147;0.474507718309
0.015;195;60;6147;0.474666564354
0.015;200;135;5962;0.456854655908
0.015;200;60;5962;0.474590276288
0.015;200;59;5962;0.474603906578
0.02;10;389;71061;0.498962331058
0.02;10;106;71061;0.507500908171
0.02;10;105;71061;0.50750102594
0.02;15;543;65725;0.506826783832
0.02;15;197;65725;0.516341316312
0.02;20;647;61761;0.509141172288
0.02;20;251;61761;0.521551946204
0.02;25;696;57221;0.51346216416
0.02;25;270;57221;0.525589213315
0.02;30;689;49447;0.518803247162
0.02;30;266;49447;0.52817563404
0.02;30;264;49447;0.52818072377
0.02;35;611;41866;0.517395189222
0.02;35;217;41866;0.527752036669
0.02;35;213;41866;0.528013544291
0.02;40;557;35876;0.5206630294
0.02;40;193;35876;0.531176177947
0.02;40;191;35876;0.53144121862
0.02;45;523;31152;0.52222593596
0.02;45;173;31152;0.532340247883
0.02;45;172;31152;0.532341924884
0.02;50;482;27574;0.523178534244
0.02;50;171;27574;0.532954653869
0.02;50;169;27574;0.532956771753
0.02;55;440;24623;0.524045255971
0.02;55;164;24623;0.533886642282
0.02;55;163;24623;0.533888033898
0.02;60;420;22142;0.524185185269
0.02;60;158;22142;0.534626664692
0.02;65;398;20038;0.524530214158
0.02;65;149;20038;0.535032049632
0.02;70;390;18279;0.524661127612
0.02;70;140;18279;0.535485449004
0.02;75;372;16810;0.525413781714
0.02;75;132;16810;0.53626593556
0.02;80;348;15565;0.525583499226
0.02;80;125;15565;0.537786876191
0.02;85;332;14455;0.525851363796
0.02;85;125;14455;0.538620520774
0.02;85;123;14455;0.538679245658
0.02;90;321;13470;0.526856251116
0.02;90;121;13470;0.53915159258
0.02;90;119;13470;0.539200058829
0.02;95;308;12632;0.528179995284
0.02;95;124;12632;0.539628329698
0.02;95;122;12632;0.539636571397
0.02;100;297;11839;0.528517841161
0.02;100;115;11839;0.540194541001
0.02;100;113;11839;0.540203303256
0.02;105;285;11128;0.528823700965
0.02;105;109;11128;0.541097360101
0.02;105;108;11128;0.541103698085
0.02;110;277;10495;0.529163963157
0.02;110;106;10495;0.54201035244
0.02;110;105;10495;0.542014374117
0.02;115;277;9950;0.529963863434
0.02;115;94;9950;0.54293227982
0.02;120;263;9433;0.530547374333
0.02;120;88;9433;0.543829896016
0.02;125;250;8960;0.531001131575
0.02;125;89;8960;0.544415532256
0.02;130;241;8526;0.53176339984
0.02;130;88;8526;0.545067741996
0.02;135;238;8146;0.532239905617
0.02;135;91;8146;0.545078969849
0.02;135;90;8146;0.545460016914
0.02;140;229;7807;0.532625634165
0.02;140;87;7807;0.545928235546
0.02;140;86;7807;0.545942189938
0.02;145;224;7500;0.533875484244
0.02;145;86;7500;0.546345740451
0.02;145;84;7500;0.546774867929
0.02;150;215;7187;0.533628731866
0.02;150;81;7187;0.547029328666
0.02;150;80;7187;0.547037733404
0.02;155;197;6894;0.533938999998
0.02;155;77;6894;0.546849638065
0.02;155;74;6894;0.547316684539
0.02;160;191;6651;0.534490848061
0.02;160;80;6651;0.547189915311
0.02;160;77;6651;0.547617248531
0.02;165;191;6423;0.535032274315
0.02;165;80;6423;0.547696118631
0.02;165;78;6423;0.548041566591
0.02;170;186;6167;0.53509973431
0.02;170;75;6167;0.548268594863
0.02;170;74;6167;0.548342253526
0.02;175;181;5929;0.535705674664
0.02;175;73;5929;0.54825933725
0.02;175;71;5929;0.548615383601
0.02;180;177;5738;0.537852117228
0.02;180;74;5738;0.54937479959
0.02;180;72;5738;0.549485364394
0.02;185;174;5545;0.53764412289
0.02;185;72;5545;0.549824851782
0.02;185;71;5545;0.549831584216
0.02;190;174;5343;0.537937108256
0.02;190;73;5343;0.550006138609
0.02;190;72;5343;0.550013001687
0.02;195;168;5193;0.539359622168
0.02;195;72;5193;0.551527316405
0.02;195;71;5193;0.551627642328
0.02;200;159;5035;0.540176330677
0.02;200;68;5035;0.552285960879
0.025;10;446;63346;0.532285036308
0.025;10;99;63346;0.542075647467
0.025;15;644;57836;0.540498567664
0.025;15;196;57836;0.550948665515
0.025;15;194;57836;0.550974759226
0.025;20;782;53855;0.546423160463
0.025;20;283;53855;0.556413276373
0.025;20;282;53855;0.556413874348
0.025;25;859;49661;0.55110686656
0.025;25;326;49661;0.561116516334
0.025;25;325;49661;0.561121342303
0.025;30;814;42889;0.550389770567
0.025;30;309;42889;0.563011421889
0.025;30;307;42889;0.563022916915
0.025;35;729;36267;0.551622618621
0.025;35;265;36267;0.564437175397
0.025;35;262;36267;0.564447071782
0.025;40;663;31011;0.551954355956
0.025;40;235;31011;0.565507361903
0.025;40;233;31011;0.565529500536
0.025;45;616;26932;0.55258764227
0.025;45;221;26932;0.566469493583
0.025;45;218;26932;0.566486754274
0.025;50;557;23786;0.554057731458
0.025;50;211;23786;0.567315832223
0.025;50;208;23786;0.567331782607
0.025;55;519;21208;0.54323867933
0.025;55;198;21208;0.568018524862
0.025;55;196;21208;0.568025813927
0.025;60;480;19027;0.555979994054
0.025;60;191;19027;0.569482293123
0.025;60;189;19027;0.569499005778
0.025;65;448;17224;0.556490432514
0.025;65;176;17224;0.57027820278
0.025;65;174;17224;0.570296220169
0.025;70;434;15703;0.544985221368
0.025;70;177;15703;0.57011892621
0.025;75;405;14432;0.547463229946
0.025;75;155;14432;0.571153073998
0.025;75;153;14432;0.571166117714
0.025;80;377;13335;0.547992592469
0.025;80;134;13335;0.57223100591
0.025;85;362;12351;0.546598812266
0.025;85;140;12351;0.573146784108
0.025;85;139;12351;0.573169365693
0.025;90;355;11488;0.549126575898
0.025;90;144;11488;0.573487362528
0.025;90;142;11488;0.573542471757
0.025;95;331;10758;0.548657024851
0.025;95;139;10758;0.573970352009
0.025;95;137;10758;0.574031670927
0.025;100;319;10063;0.54807543052
0.025;100;132;10063;0.573122719692
0.025;100;130;10063;0.574259705729
0.025;105;309;9438;0.545521154473
0.025;105;124;9438;0.573115397706
0.025;105;122;9438;0.574373958798
0.025;110;300;8907;0.546105053813
0.025;110;123;8907;0.573905456579
0.025;110;120;8907;0.575101208054
0.025;115;292;8440;0.54686739599
0.025;115;113;8440;0.574973001353
0.025;115;111;8440;0.576078232831
0.025;120;280;7989;0.547536429519
0.025;120;113;7989;0.575558655683
0.025;120;112;7989;0.57656834349
0.025;125;271;7591;0.547668120545
0.025;125;112;7591;0.575695872683
0.025;125;111;7591;0.576718865493
0.025;130;263;7232;0.54577512211
0.025;130;112;7232;0.576406372724
0.025;130;109;7232;0.577477495738
0.025;135;261;6907;0.5467241283
0.025;135;113;6907;0.576705220892
0.025;135;110;6907;0.577855878954
0.025;140;247;6620;0.549209076049
0.025;140;109;6620;0.577602922993
0.025;140;105;6620;0.578660876379
0.025;145;246;6337;0.552372063302
0.025;145;108;6337;0.577986537558
0.025;145;105;6337;0.578981993324
0.025;150;244;6060;0.552806128609
0.025;150;107;6060;0.578434155961
0.025;150;103;6060;0.57961614995
0.025;155;233;5810;0.552463975627
0.025;155;97;5810;0.578170712913
0.025;155;93;5810;0.579344526074
0.025;160;231;5595;0.552209133819
0.025;160;104;5595;0.578459356056
0.025;160;100;5595;0.579553338096
0.025;165;228;5385;0.550432151254
0.025;165;101;5385;0.578664806967
0.025;165;98;5385;0.579870647605
0.025;170;216;5157;0.551080784655
0.025;170;93;5157;0.579566969478
0.025;170;92;5157;0.579794315676
0.025;175;214;4970;0.550800888682
0.025;175;91;4970;0.579887186862
0.025;175;88;4970;0.580246881252
0.025;180;208;4800;0.551165982739
0.025;180;89;4800;0.579902008022
0.025;180;85;4800;0.581142762447
0.025;185;206;4626;0.551237735981
0.025;185;86;4626;0.579821174459
0.025;185;82;4626;0.580967825603
0.025;190;201;4459;0.551690701281
0.025;190;88;4459;0.580263758297
0.025;190;84;4459;0.581423786087
0.025;195;192;4333;0.555004872458
0.025;195;84;4333;0.583785424082
0.025;195;82;4333;0.583806366281
