dispth;eth;comnum;vcount;modularity
0.01;10;145;95965;0.312439492551
0.01;10;13;95965;0.318622820425
0.01;15;237;94851;0.313966095879
0.01;15;30;94851;0.319998559394
0.01;20;295;92852;0.315017631209
0.01;20;55;92852;0.320962892729
0.01;25;358;90715;0.312933685603
0.01;25;66;90715;0.322198635366
0.01;30;414;88695;0.313181858187
0.01;30;89;88695;0.322532915373
0.01;35;427;85353;0.312162431797
0.01;35;91;85353;0.32203380723
0.01;40;415;78501;0.311798750448
0.01;40;101;78501;0.321538251428
0.01;45;403;70483;0.311819028633
0.01;45;96;70483;0.320691779358
0.01;50;403;63101;0.310823369166
0.01;50;101;63101;0.319662700013
0.01;55;369;57009;0.309345811441
0.01;55;96;57009;0.318517534918
0.01;60;346;51782;0.309873164046
0.01;60;91;51782;0.318072620258
0.01;65;316;47425;0.308906986105
0.01;65;78;47425;0.317420060206
0.01;70;329;43648;0.308100332825
0.01;70;77;43648;0.316844465721
0.01;75;319;40471;0.30824732098
0.01;75;85;40471;0.316361489604
0.01;80;302;37655;0.307267571572
0.01;80;82;37655;0.315583857934
0.01;85;310;35155;0.305550318646
0.01;85;85;35155;0.314807353372
0.01;90;298;32903;0.304762089042
0.01;90;89;32903;0.314032796536
0.01;95;272;30976;0.304464764768
0.01;95;84;30976;0.313613916721
0.01;100;259;29190;0.303904799366
0.01;100;83;29190;0.313111135104
0.01;105;253;27601;0.303694278952
0.01;105;82;27601;0.312684219499
0.01;110;256;26214;0.298987629346
0.01;110;75;26214;0.31188287586
0.01;115;256;24901;0.298346522159
0.01;115;72;24901;0.311244032807
0.01;115;71;24901;0.311262662826
0.01;120;250;23773;0.298231612849
0.01;120;64;23773;0.311174536181
0.01;125;239;22655;0.297868396168
0.01;125;64;22655;0.310671429127
0.01;130;230;21659;0.297516023452
0.01;130;59;21659;0.310332146164
0.01;135;225;20747;0.297307779932
0.01;135;61;20747;0.310100315332
0.01;140;222;19913;0.297108524244
0.01;140;61;19913;0.309805932166
0.01;145;205;19124;0.296935139219
0.01;145;60;19124;0.309690676571
0.01;150;203;18399;0.296814372216
0.01;150;57;18399;0.309649593062
0.01;155;196;17659;0.296476445235
0.01;155;53;17659;0.309310272707
0.01;160;188;17018;0.296193291799
0.01;160;50;17018;0.308978693857
0.01;165;182;16399;0.295839201639
0.01;165;47;16399;0.308715784958
0.01;170;174;15868;0.295760737459
0.01;170;49;15868;0.308497860204
0.01;170;48;15868;0.308502967749
0.01;175;168;15347;0.295656553033
0.01;175;49;15347;0.308252985796
0.01;175;48;15347;0.308258867925
0.01;180;170;14861;0.295380541521
0.01;180;51;14861;0.307878166083
0.01;180;50;14861;0.307882615016
0.01;185;167;14407;0.295255115266
0.01;185;48;14407;0.306621331214
0.01;185;47;14407;0.306626464006
0.01;190;167;13972;0.295038574892
0.01;190;45;13972;0.306416929004
0.01;190;43;13972;0.30645986842
0.01;195;162;13571;0.29500260469
0.01;195;44;13571;0.30634897767
0.01;195;43;13571;0.306354153123
0.01;200;166;13183;0.294593546822
0.01;200;45;13183;0.305928772929
0.01;200;44;13183;0.30593428837
0.015;10;262;83808;0.417053851022
0.015;10;59;83808;0.427477395007
0.015;15;380;79816;0.423838086755
0.015;15;129;79816;0.434992822167
0.015;20;490;76388;0.427835800626
0.015;20;195;76388;0.440125412397
0.015;25;582;73831;0.430321221411
0.015;25;230;73831;0.444181586962
0.015;30;655;71727;0.433935200817
0.015;30;259;71727;0.447418713769
0.015;35;684;68920;0.436529016799
0.015;35;271;68920;0.449393267256
0.015;40;644;63375;0.436884848707
0.015;40;240;63375;0.450568761584
0.015;40;239;63375;0.450571365375
0.015;45;607;56813;0.437620907919
0.015;45;228;56813;0.451310004715
0.015;45;227;56813;0.451310578273
0.015;50;585;50707;0.437735934504
0.015;50;235;50707;0.451572164533
0.015;55;550;45708;0.438139632206
0.015;55;209;45708;0.451864345662
0.015;60;518;41393;0.43834030824
0.015;60;194;41393;0.452466526103
0.015;65;480;37762;0.438190848061
0.015;65;172;37762;0.451712410704
0.015;70;463;34663;0.438517134294
0.015;70;168;34663;0.452425920988
0.015;75;432;32029;0.438969213586
0.015;75;165;32029;0.45210255637
0.015;80;419;29776;0.438927329124
0.015;80;159;29776;0.45201687147
0.015;85;403;27667;0.439004507609
0.015;85;150;27667;0.45214084655
0.015;90;388;25835;0.443265845708
0.015;90;153;25835;0.453555458624
0.015;95;376;24281;0.443411928655
0.015;95;147;24281;0.453606726492
0.015;100;355;22813;0.442842714373
0.015;100;139;22813;0.453145435838
0.015;105;348;21543;0.443550405179
