dispth;eth;comnum;vcount;modularity
0.01;10;332;84539;0.363450396076
0.01;10;119;84539;0.371750347684
0.01;15;406;73977;0.366134592075
0.01;15;142;73977;0.375135026072
0.01;20;353;56461;0.366817627178
0.01;20;126;56461;0.374965737415
0.01;25;293;43680;0.36703493192
0.01;25;96;43680;0.376942239019
0.01;30;251;35234;0.365874134135
0.01;30;92;35234;0.375549419387
0.01;35;222;29330;0.363508671762
0.01;35;71;29330;0.373628377204
0.01;40;204;25078;0.363903275684
0.01;40;60;25078;0.374304883343
0.01;45;171;21774;0.378174852625
0.01;45;54;21774;0.379055321439
0.01;50;158;19184;0.365786494572
0.01;50;47;19184;0.379004301744
0.01;55;142;17069;0.374005137111
0.01;55;44;17069;0.380168563161
0.01;60;143;15436;0.364000559794
0.01;60;48;15436;0.38048244337
0.01;65;123;14077;0.367785387229
0.01;65;39;14077;0.380472560343
0.01;70;123;12855;0.375629581728
0.01;70;37;12855;0.382081409939
0.01;75;130;11857;0.373621454643
0.01;75;45;11857;0.383285103325
0.01;80;129;10974;0.374163147838
0.01;80;41;10974;0.383891183018
0.01;85;126;10211;0.374921828645
0.01;85;39;10211;0.384618424305
0.01;90;127;9537;0.375471397377
0.01;90;43;9537;0.38533240676
0.01;95;120;8954;0.376274787381
0.01;95;39;8954;0.385605628019
0.01;100;112;8427;0.379599336584
0.01;100;35;8427;0.38617033277
0.01;105;107;7905;0.378127787353
0.01;105;36;7905;0.386255802123
0.01;110;102;7493;0.381447582757
0.01;110;32;7493;0.387865855734
0.01;115;101;7096;0.379920644015
0.01;115;35;7096;0.388778234054
0.01;120;98;6730;0.380306900732
0.01;120;37;6730;0.389001052222
0.01;125;100;6393;0.380573213922
0.01;125;33;6393;0.389786308268
0.01;130;92;6100;0.3802427452
0.01;130;32;6100;0.39066207334
0.01;135;85;5845;0.380820151749
0.01;135;30;5845;0.39142439921
0.01;140;74;5563;0.379362569974
0.01;140;28;5563;0.389391482941
0.01;140;27;5563;0.389404738524
0.01;145;69;5327;0.371152189004
0.01;145;31;5327;0.383931821474
0.01;145;30;5327;0.383943165013
0.01;150;67;5132;0.371810411587
0.01;150;28;5132;0.384390794806
0.01;150;27;5132;0.384408607514
0.01;155;69;4950;0.376364008428
0.01;155;26;4950;0.385526529127
0.01;160;65;4751;0.374203588552
0.01;160;29;4751;0.385857107646
0.01;160;28;4751;0.385874585309
0.01;165;69;4589;0.37566299902
0.01;165;28;4589;0.386830872976
0.01;170;72;4436;0.376070640528
0.01;170;29;4436;0.387407387039
0.01;170;28;4436;0.387410800849
0.01;175;68;4277;0.37621433071
0.01;175;26;4277;0.388512489786
0.01;180;73;4133;0.378216106267
0.01;180;23;4133;0.388662450861
0.01;180;22;4133;0.388664687519
0.01;185;71;3990;0.378734370886
0.01;185;19;3990;0.389285228415
0.01;185;18;3990;0.389288877463
0.01;190;66;3861;0.377960486575
0.01;190;19;3861;0.390055098637
0.01;195;63;3751;0.378495038136
0.01;195;20;3751;0.389821753056
0.01;200;61;3657;0.382450738846
0.01;200;17;3657;0.392037053125
0.015;10;558;65999;0.462465851313
0.015;10;210;65999;0.469194805799
0.015;10;209;65999;0.469194857709
0.015;15;631;57102;0.470508605336
0.015;15;254;57102;0.47655016128
0.015;20;501;43542;0.470865175276
0.015;20;203;43542;0.478767681855
0.015;25;405;33524;0.473183593702
