dispth;eth;comnum;vcount;modularity
0.01;10;449;74960;0.354145404424
0.01;10;102;74960;0.360018908108
0.01;10;101;74960;0.360019672808
0.01;15;353;47998;0.353304384509
0.01;15;87;47998;0.359018126116
0.01;20;311;34302;0.348062100557
0.01;20;85;34302;0.354257642769
0.01;25;290;26374;0.345595304612
0.01;25;80;26374;0.352472868017
0.01;30;262;21391;0.347075786418
0.01;30;81;21391;0.352054976726
0.01;30;80;21391;0.352064024318
0.01;35;235;17820;0.345767664659
0.01;35;76;17820;0.35226269909
0.01;40;218;15246;0.339784567265
0.01;40;72;15246;0.351218598651
0.01;45;209;13349;0.339973765997
0.01;45;63;13349;0.352035704377
0.01;50;192;11815;0.338457592604
0.01;50;65;11815;0.351006149988
0.01;55;171;10520;0.339626189279
0.01;55;54;10520;0.351483670873
0.01;60;162;9546;0.339854642487
0.01;60;44;9546;0.352566853601
0.01;65;154;8727;0.342698774446
0.01;65;40;8727;0.35379864776
0.01;70;143;8030;0.341680815406
0.01;70;40;8030;0.354353388185
0.01;75;133;7445;0.343492155558
0.01;75;38;7445;0.355275572055
0.01;80;112;6960;0.346728276679
0.01;80;35;6960;0.357083821893
0.01;85;112;6507;0.343080025796
0.01;85;33;6507;0.355823975391
0.01;90;106;6084;0.343220060263
0.01;90;33;6084;0.356647928037
0.01;95;108;5728;0.342308465089
0.01;95;32;5728;0.356045688026
0.01;100;103;5383;0.341971252911
0.01;100;30;5383;0.356154472219
0.01;105;101;5109;0.342968003064
0.01;105;29;5109;0.356541937237
0.01;110;97;4867;0.344327420257
0.01;110;27;4867;0.357931207545
0.01;115;95;4592;0.34083263407
0.01;115;23;4592;0.354340612769
0.01;120;92;4371;0.341158632501
0.01;120;24;4371;0.354664520003
0.01;125;89;4174;0.336661796692
0.01;125;24;4174;0.349523201221
0.01;130;87;4002;0.336833580621
0.01;130;21;4002;0.349709231608
0.01;135;87;3856;0.337309692902
0.01;135;22;3856;0.350055477822
0.01;140;84;3707;0.337715309634
0.01;140;20;3707;0.350445462826
0.01;145;80;3560;0.337050279509
0.01;145;17;3560;0.349794686555
0.01;150;81;3404;0.337366021175
0.01;150;18;3404;0.350371103065
0.01;155;79;3283;0.336222204436
0.01;155;16;3283;0.351019475419
0.01;160;75;3146;0.332746035921
0.01;160;15;3146;0.34723579234
0.01;165;75;3059;0.332660566308
0.01;165;15;3059;0.34689787112
0.01;170;72;2974;0.334124297735
0.01;170;17;2974;0.347776446736
0.01;175;68;2888;0.336424778969
0.01;175;17;2888;0.347989155926
0.01;175;16;2888;0.348075378256
0.01;180;68;2794;0.336108230589
0.01;180;18;2794;0.348046620307
0.01;180;17;2794;0.348092156058
0.01;185;66;2712;0.336721392901
0.01;185;17;2712;0.348853329678
0.01;185;16;2712;0.348907262877
0.01;190;65;2627;0.329249371622
0.01;190;15;2627;0.339574193592
0.01;190;14;2627;0.339660215354
0.01;195;66;2536;0.32877241982
0.01;195;16;2536;0.340506071811
0.01;195;15;2536;0.340593175634
0.01;200;66;2473;0.328487056414
0.01;200;16;2473;0.341752615543
0.01;200;15;2473;0.34182845123
0.015;10;685;61639;0.48884680612
0.015;10;268;61639;0.495787213339
0.015;10;266;61639;0.495789887325
0.015;15;538;38869;0.485601589622
0.015;15;208;38869;0.501875341978
0.015;15;206;38869;0.501877611771
0.015;20;415;27490;0.485993722227
0.015;20;161;27490;0.502841432908
0.015;25;381;20937;0.486637101246
0.015;25;153;20937;0.504289955336
0.015;30;330;16793;0.488257015716
0.015;30;132;16793;0.504451672718
0.015;30;131;16793;0.504451821023
0.015;35;276;13848;0.493053577329
0.015;35;117;13848;0.511000546756
0.015;40;249;11786;0.494498182355
0.015;40;108;11786;0.513021227965
0.015;45;222;10235;0.495641249174
0.015;45;103;10235;0.513364928744
0.015;50;197;9011;0.498997387301
0.015;50;94;9011;0.51733815896
0.015;55;193;7938;0.499686029548
0.015;55;97;7938;0.517825505532
0.015;55;96;7938;0.517974887535
0.015;60;176;7182;0.503362707791
0.015;60;82;7182;0.521734226343
0.015;60;81;7182;0.521792001535
0.015;65;165;6558;0.505775433926
0.015;65;78;6558;0.524494130385
0.015;65;77;6558;0.524544544369
0.015;70;155;6029;0.508657685424
0.015;70;73;6029;0.530121656734
0.015;70;72;6029;0.53016994866
0.015;75;148;5598;0.510086154854
0.015;75;68;5598;0.530846101004
0.015;75;67;5598;0.530892583335
0.015;80;136;5202;0.511497215054
0.015;80;63;5202;0.532099180253
0.015;80;62;5202;0.532172085416
0.015;85;128;4843;0.511417910973
0.015;85;54;4843;0.532726793188
0.015;85;52;4843;0.533472314274
0.015;90;126;4516;0.513429383154
0.015;90;55;4516;0.534671238432
0.015;90;53;4516;0.53548488117
0.015;95;119;4244;0.514086614259
0.015;95;52;4244;0.535576495437
