dispth;eth;comnum;vcount;modularity
0.01;10;136;95891;0.315534875779
0.01;10;9;95891;0.320470811121
0.01;15;212;94963;0.317538128991
0.01;15;25;94963;0.322542226095
0.01;15;24;94963;0.322542606955
0.01;20;269;93006;0.318247933265
0.01;20;54;93006;0.323616720377
0.01;25;311;90922;0.315874537556
0.01;25;73;90922;0.32430404282
0.01;30;370;88954;0.316428497168
0.01;30;95;88954;0.324661994878
0.01;30;94;88954;0.324662649725
0.01;35;394;86786;0.311313891818
0.01;35;94;86786;0.320552163369
0.01;35;93;86786;0.322713224741
0.01;40;392;82133;0.309070539375
0.01;40;90;82133;0.320365273322
0.01;40;89;82133;0.322574391925
0.01;45;380;74998;0.310140135889
0.01;45;99;74998;0.320716674821
0.01;45;98;74998;0.32312330459
0.01;50;376;67444;0.309987947085
0.01;50;99;67444;0.320163921738
0.01;50;98;67444;0.322823979283
0.01;55;358;60993;0.308914924355
0.01;55;103;60993;0.319829859266
0.01;55;102;60993;0.322257796482
0.01;60;353;55467;0.308394179736
0.01;60;98;55467;0.318793303493
0.01;60;97;55467;0.321148506357
0.01;65;335;50804;0.306194194555
0.01;65;89;50804;0.317596085486
0.01;65;88;50804;0.320228489368
0.01;70;312;46685;0.309267620175
0.01;70;79;46685;0.31756207306
0.01;70;78;46685;0.319471536909
0.01;75;305;43149;0.309003844113
0.01;75;78;43149;0.317295702175
0.01;75;77;43149;0.319527838819
0.01;80;298;40212;0.307884266669
0.01;80;77;40212;0.317269553649
0.01;80;76;40212;0.32000356922
0.01;85;289;37565;0.307321028951
0.01;85;69;37565;0.31679198453
0.01;85;68;37565;0.319360534185
0.01;90;271;35195;0.307396999971
0.01;90;75;35195;0.31629410849
0.01;90;74;35195;0.318827983898
0.01;95;266;33136;0.306715638536
0.01;95;74;33136;0.315765937863
0.01;95;73;33136;0.31826676939
0.01;100;241;31327;0.306806339262
0.01;100;69;31327;0.315531311199
0.01;100;68;31327;0.318045356462
0.01;105;244;29608;0.312638516523
0.01;105;83;29608;0.31832622624
0.01;110;240;28046;0.311844015622
0.01;110;78;28046;0.317900438276
0.01;115;244;26678;0.31132798704
0.01;115;74;26678;0.317732443041
0.01;120;240;25448;0.306771265362
0.01;120;73;25448;0.31655274902
0.01;125;226;24249;0.306579688126
0.01;125;60;24249;0.316269389785
0.01;130;223;23127;0.305769531943
0.01;130;66;23127;0.31614877005
0.01;135;216;22122;0.30550257381
0.01;135;66;22122;0.315798818501
0.01;140;202;21193;0.304877521286
0.01;140;65;21193;0.315343852531
0.01;145;197;20371;0.3026589307
0.01;145;60;20371;0.314486342341
0.01;150;201;19523;0.302326473727
0.01;150;59;19523;0.314303663616
0.01;155;200;18857;0.302161071312
0.01;155;59;18857;0.314162598598
0.01;160;208;18205;0.298801385552
0.01;160;61;18205;0.314149350775
0.01;165;204;17566;0.298574118407
0.01;165;61;17566;0.31397322246
0.01;170;193;16953;0.29828540562
0.01;170;59;16953;0.31341328071
0.01;175;185;16410;0.300386147112
0.01;175;56;16410;0.313595937308
0.01;180;187;15871;0.300227142891
0.01;180;57;15871;0.313338763167
0.01;185;180;15344;0.300288835489
0.01;185;52;15344;0.313413696041
0.01;190;180;14852;0.299814243505
0.01;190;52;14852;0.31320158394
0.01;195;183;14415;0.299443178239
0.01;195;54;14415;0.31304913751
0.01;200;173;14007;0.299639415091
0.01;200;51;14007;0.312826872679
0.015;10;257;83454;0.421628314019
0.015;10;50;83454;0.431087662445
