dispth;eth;comnum;vcount;modularity
0.01;10;308;88121;0.367561231535
0.01;10;127;88121;0.369309043787
0.01;15;443;82348;0.370194292969
0.01;15;169;82348;0.37143468023
0.01;15;168;82348;0.371435182912
0.01;20;425;67637;0.371149285029
0.01;20;152;67637;0.372243435374
0.01;20;151;67637;0.372244496927
0.01;25;370;52770;0.370924172646
0.01;25;137;52770;0.372001121542
0.01;30;326;42606;0.370871155879
0.01;30;116;42606;0.371695173435
0.01;35;297;35641;0.370386118467
0.01;35;103;35641;0.371438408803
0.01;40;271;30411;0.370052189772
0.01;40;89;30411;0.37131374988
0.01;45;257;26390;0.367671621419
0.01;45;77;26390;0.371976713594
0.01;45;76;26390;0.371992990302
0.01;50;225;23367;0.367869418836
0.01;50;72;23367;0.372626037836
0.01;55;206;20845;0.372139735163
0.01;55;67;20845;0.373133733926
0.01;60;193;18818;0.372602697124
0.01;60;65;18818;0.373484372664
0.01;65;178;17075;0.373170968464
0.01;65;62;17075;0.374032022144
0.01;70;172;15660;0.373355168304
0.01;70;60;15660;0.374505725822
0.01;75;161;14464;0.3738040974
0.01;75;53;14464;0.374924362334
0.01;80;154;13404;0.374264884876
0.01;80;51;13404;0.375476052936
0.01;85;152;12455;0.375421324993
0.01;85;47;12455;0.376595462794
0.01;90;141;11645;0.375433217337
0.01;90;45;11645;0.376624265032
0.01;95;139;10912;0.372116391078
0.01;95;45;10912;0.377225844441
0.01;100;136;10255;0.377321446465
0.01;100;43;10255;0.37857727745
0.01;105;132;9672;0.373207009837
0.01;105;41;9672;0.378635697092
0.01;110;135;9159;0.378275278625
0.01;110;44;9159;0.379451482172
0.01;115;128;8697;0.379076543595
0.01;115;41;8697;0.380235061411
0.01;120;124;8247;0.379711340095
0.01;120;41;8247;0.380887174093
0.01;125;111;7853;0.380459447175
0.01;125;38;7853;0.381394905248
0.01;130;115;7500;0.376425116142
0.01;130;36;7500;0.382253888805
0.01;135;111;7161;0.381525434655
0.01;135;34;7161;0.382802522866
0.01;140;108;6854;0.38210864071
0.01;140;33;6854;0.383222382148
0.01;145;102;6549;0.377636841288
0.01;145;31;6549;0.383652985361
0.01;150;101;6276;0.378250688694
0.01;150;29;6276;0.384270441328
0.01;155;102;6057;0.378884748389
0.01;155;30;6057;0.384862248993
0.01;160;95;5854;0.375950197777
0.01;160;29;5854;0.385381665924
0.01;165;97;5641;0.376076533578
0.01;165;27;5641;0.385942717126
0.01;170;93;5427;0.381518194464
0.01;170;26;5427;0.386587600629
0.01;175;89;5244;0.382341629357
0.01;175;25;5244;0.387141789722
0.01;180;84;5078;0.382984710869
0.01;180;25;5078;0.387797072559
0.01;185;77;4892;0.383577169641
0.01;185;23;4892;0.388351511993
0.01;190;74;4737;0.383959952964
0.01;190;23;4737;0.388792432336
0.01;195;73;4596;0.384322697736
0.01;195;23;4596;0.389151686462
0.01;200;72;4445;0.379895782577
0.01;200;23;4445;0.389372765261
0.015;10;469;70089;0.454509495198
0.015;10;212;70089;0.467205263247
0.015;10;211;70089;0.467205479337
0.015;15;588;64400;0.454809648722
0.015;15;261;64400;0.471640264098
0.015;20;567;53030;0.457505593707
0.015;20;260;53030;0.474725539124
0.015;25;492;41258;0.452456873994
0.015;25;215;41258;0.475295716353
0.015;30;427;33122;0.454314521409
0.015;30;191;33122;0.475948706554
0.015;35;368;27531;0.465625626837
0.015;35;143;27531;0.476777522485
0.015;40;326;23371;0.454195324198
0.015;40;117;23371;0.47527521614
0.015;45;299;20207;0.45585620745
0.015;45;109;20207;0.477292908131
0.015;50;262;17829;0.456575464933
0.015;50;96;17829;0.478438402709
0.015;55;242;15879;0.457752571897
0.015;55;89;15879;0.47955657183
0.015;60;219;14276;0.457601759348
0.015;60;90;14276;0.479861568365
0.015;65;215;12909;0.458625002257
0.015;65;77;12909;0.481266364687
0.015;70;208;11781;0.459446695666
0.015;70;77;11781;0.4812695586
0.015;75;202;10876;0.460037672949
0.015;75;83;10876;0.483269916012
0.015;80;197;10075;0.460854289237
0.015;80;85;10075;0.484043971832
0.015;80;84;10075;0.484054367655
0.015;85;189;9339;0.460093014892
0.015;85;76;9339;0.486110274456
0.015;90;185;8685;0.460746077947
0.015;90;77;8685;0.486471374893
0.015;95;171;8121;0.461523220837
0.015;95;75;8121;0.488090978113
0.015;100;164;7621;0.461531043494
0.015;100;78;7621;0.488347350101
0.015;105;163;7167;0.463349943304
0.015;105;73;7167;0.4903625214
0.015;110;161;6774;0.463505563931
0.015;110;71;6774;0.491176997257
0.015;110;70;6774;0.491189926754
0.015;115;160;6415;0.471320035249
0.015;115;68;6415;0.492163292122
0.015;115;67;6415;0.492176524306
0.015;120;153;6081;0.469692825405
0.015;120;66;6081;0.492632224132
0.015;120;65;6081;0.492645958347
0.015;125;152;5801;0.479349304052
0.015;125;60;5801;0.488424715777
0.015;125;59;5801;0.488432134013
0.015;130;157;5513;0.479868044344
0.015;130;61;5513;0.489171370565
0.015;130;60;5513;0.489171398109
0.015;135;151;5254;0.479724003615
0.015;135;59;5254;0.489302182768
0.015;140;150;5015;0.467650831983
0.015;140;57;5015;0.488792361371
0.015;145;137;4789;0.462028307394
0.015;145;55;4789;0.487821396585
0.015;150;135;4581;0.460470840554
0.015;150;56;4581;0.489204757227
0.015;155;128;4402;0.463179335309
0.015;155;53;4402;0.489677586687
0.015;160;120;4243;0.460513272755
0.015;160;47;4243;0.489587138027
0.015;165;117;4096;0.461173344658
0.015;165;42;4096;0.490038238834
0.015;170;112;3924;0.463781644259
0.015;170;42;3924;0.49080013347
0.015;175;112;3788;0.461686349536
0.015;175;41;3788;0.491806908653
0.015;180;109;3666;0.462353683062
0.015;180;39;3666;0.492521376516
0.015;185;105;3533;0.462526021156
0.015;185;36;3533;0.495125715507
