dispth;eth;comnum;vcount;modularity
0.01;10;207;94003;0.331587489132
0.01;10;41;94003;0.340477189393
0.01;15;312;90013;0.33327959304
0.01;15;91;90013;0.341680059224
0.01;20;395;86447;0.333508455608
0.01;20;120;86447;0.342177717957
0.01;25;415;77851;0.333233530088
0.01;25;125;77851;0.341474778547
0.01;30;387;65345;0.332191025041
0.01;30;113;65345;0.340634174619
0.01;35;375;55142;0.330305062217
0.01;35;113;55142;0.339330165962
0.01;40;353;47474;0.328418557274
0.01;40;97;47474;0.337899555031
0.01;45;311;41434;0.327234983563
0.01;45;97;41434;0.336363353733
0.01;50;291;36669;0.326108021076
0.01;50;94;36669;0.335996716965
0.01;55;273;32878;0.325434724066
0.01;55;91;32878;0.334410110889
0.01;60;250;29626;0.324732182615
0.01;60;82;29626;0.334332974304
0.01;65;223;27002;0.324560382749
0.01;65;79;27002;0.333312586205
0.01;70;205;24745;0.323841609992
0.01;70;74;24745;0.33360091254
0.01;75;201;22837;0.323911289751
0.01;75;70;22837;0.332893673001
0.01;80;189;21083;0.323249809296
0.01;80;65;21083;0.332807663395
0.01;85;181;19655;0.323224970073
0.01;85;68;19655;0.332403583506
0.01;90;175;18407;0.31944653732
0.01;90;57;18407;0.330386370663
0.01;95;176;17234;0.318998169797
0.01;95;55;17234;0.329932449892
0.01;95;54;17234;0.330006106251
0.01;100;172;16213;0.31841660917
0.01;100;54;16213;0.329153949362
0.01;100;53;16213;0.329232814427
0.01;105;167;15302;0.31776621549
0.01;105;47;15302;0.328895735472
0.01;110;161;14499;0.317356258624
0.01;110;45;14499;0.328756984447
0.01;115;161;13750;0.31728271941
0.01;115;45;13750;0.328807331047
0.01;120;151;13090;0.317404243691
0.01;120;44;13090;0.328750146251
0.01;125;153;12522;0.31609867677
0.01;125;41;12522;0.328802168504
0.01;130;148;11959;0.315648677186
0.01;130;42;11959;0.328789115307
0.01;135;138;11436;0.316962627793
0.01;135;38;11436;0.328621564427
0.01;140;126;10955;0.316522235646
0.01;140;36;10955;0.328409741608
0.01;145;123;10479;0.316441336074
0.01;145;33;10479;0.328137265057
0.01;150;123;10069;0.314850992276
0.01;150;31;10069;0.328149437991
0.01;155;123;9684;0.302913942598
0.01;155;29;9684;0.32772685746
0.01;160;114;9357;0.316330887099
0.01;160;30;9357;0.327945518682
0.01;165;117;9034;0.315614001648
0.01;165;31;9034;0.32831992707
0.01;170;114;8697;0.315399914412
0.01;170;28;8697;0.328258102044
0.01;175;110;8388;0.314946396433
0.01;175;28;8388;0.328079245793
0.01;180;107;8130;0.312900433331
0.01;180;28;8130;0.327948185567
0.01;185;100;7869;0.314114704267
0.01;185;28;7869;0.328038528532
0.01;190;101;7631;0.315305681654
0.01;190;25;7631;0.328148875759
0.01;195;103;7410;0.315467302204
0.01;195;26;7410;0.328206815265
0.01;200;96;7203;0.315272453647
0.01;200;27;7203;0.327899466381
0.015;10;334;78197;0.432251128024
0.015;10;127;78197;0.450501868269
0.015;15;449;73240;0.438772797533
0.015;15;192;73240;0.456843041389
0.015;20;552;69633;0.443617262398
0.015;20;248;69633;0.461296364119
0.015;20;246;69633;0.461296916442
0.015;25;561;62614;0.447195811448
0.015;25;236;62614;0.463909867653
0.015;25;235;62614;0.463910102669
0.015;30;505;52388;0.447349047332
0.015;30;210;52388;0.463537007253
0.015;30;209;52388;0.463537122576
0.015;35;479;44079;0.447719402033
0.015;35;192;44079;0.464001175916
0.015;35;191;44079;0.464001232403
0.015;40;468;37750;0.44854561078
0.015;40;172;37750;0.466071133613
0.015;45;407;32808;0.448052555027
0.015;45;148;32808;0.465060113014
0.015;50;382;28934;0.447750215845
0.015;50;146;28934;0.465836128653
0.015;55;354;25862;0.449438653147
0.015;55;132;25862;0.465540646411
0.015;60;327;23214;0.450736598136
0.015;60;121;23214;0.466504565952
0.015;60;119;23214;0.4665063563
0.015;65;281;21052;0.435381569762
0.015;65;127;21052;0.464131753276
0.015;70;275;19269;0.449121526064
0.015;70;118;19269;0.46666801233
0.015;75;286;17800;0.45147672904
0.015;75;113;17800;0.467304314272
0.015;80;267;16361;0.450029333396
0.015;80;106;16361;0.467082865762
0.015;85;252;15206;0.450787202439
0.015;85;101;15206;0.468191999557
0.015;90;234;14210;0.451510790998
0.015;90;101;14210;0.468673276005
0.015;95;229;13263;0.450900341734
0.015;95;92;13263;0.469049033096
0.015;100;227;12471;0.450612634083
0.015;100;86;12471;0.469347166503
0.015;105;213;11713;0.452813795535
0.015;105;81;11713;0.469969501981
0.015;110;206;11083;0.453705922533
0.015;110;76;11083;0.470408572483
0.015;115;199;10503;0.452647978869
0.015;115;73;10503;0.470977524652
0.015;120;183;9965;0.43735375787
0.015;120;68;9965;0.469219611067
0.015;125;185;9526;0.437621571221
0.015;125;68;9526;0.469589758221
0.015;130;166;9063;0.433209922161
0.015;130;63;9063;0.470458646995
0.015;135;163;8664;0.434122957327
0.015;135;62;8664;0.470967111066
0.015;140;154;8307;0.43440352433
0.015;140;64;8307;0.471655323413
0.015;145;151;7926;0.433933160679
0.015;145;64;7926;0.470480966147
0.015;150;142;7601;0.435358219871
0.015;150;57;7601;0.472296402325
0.015;155;140;7279;0.43587533409
0.015;155;53;7279;0.473043621399
0.015;160;135;7029;0.436647155934
0.015;160;55;7029;0.473912283273
0.015;165;136;6769;0.437043214876
0.015;165;57;6769;0.474672117616
0.015;170;128;6515;0.43754964003
0.015;170;56;6515;0.47505061326
0.015;175;127;6274;0.437642557855
0.015;175;55;6274;0.475401915191
0.015;180;125;6078;0.436343039542
0.015;180;56;6078;0.473977442059
0.015;185;121;5871;0.437445334127
0.015;185;54;5871;0.475951249587
0.015;190;115;5678;0.438647815777
0.015;190;51;5678;0.476674214343
0.015;195;118;5515;0.459950009688
0.015;195;52;5515;0.47888693839
0.015;200;114;5346;0.438624811099
0.015;200;53;5346;0.476620714032
0.02;10;353;69516;0.502939693407
0.02;10;115;69516;0.513093170173
0.02;15;480;64073;0.51186338814
0.02;15;187;64073;0.522058219804
0.02;20;612;60175;0.516616751071
0.02;20;251;60175;0.527558175733
0.02;25;637;53884;0.520703005619
0.02;25;260;53884;0.530870496997
0.02;25;259;53884;0.530871289367
0.02;30;580;45144;0.521885772501
0.02;30;225;45144;0.532452092707
0.02;30;224;45144;0.532452398526
0.02;35;598;37915;0.520608693126
0.02;35;214;37915;0.532919424332
0.02;35;212;37915;0.53292167763
0.02;40;559;32458;0.522031302122
0.02;40;194;32458;0.534066604262
0.02;40;192;32458;0.534070800635
0.02;45;501;28141;0.52369387053
0.02;45;170;28141;0.535361232619
0.02;45;169;28141;0.535362857494
0.02;50;473;24782;0.524149558875
0.02;50;166;24782;0.535947705938
0.02;50;165;24782;0.535949423106
0.02;55;434;22089;0.52489354354
0.02;55;163;22089;0.536708606413
0.02;60;397;19819;0.525248659836
0.02;60;142;19819;0.537475671933
0.02;60;141;19819;0.537479389227
0.02;65;361;17945;0.526756138728
0.02;65;137;17945;0.536849780502
0.02;65;136;17945;0.537142973357
0.02;70;357;16392;0.526259030881
0.02;70;130;16392;0.537570910899
0.02;70;129;16392;0.537837366054
0.02;75;350;15126;0.527565091015
0.02;75;128;15126;0.540352592663
0.02;80;335;13916;0.529925479738
0.02;80;125;13916;0.539873602549
0.02;80;124;13916;0.539875304743
0.02;85;321;12909;0.529746260267
0.02;85;119;12909;0.540072350243
0.02;85;117;12909;0.540324929647
0.02;90;301;12056;0.532009113768
0.02;90;116;12056;0.541276133283
0.02;90;113;12056;0.541391617436
0.02;95;293;11264;0.529199254866
0.02;95;109;11264;0.541949295735
0.02;95;107;11264;0.54206407815
0.02;100;284;10588;0.526304689925
0.02;100;106;10588;0.541823369264
0.02;100;105;10588;0.541824929266
0.02;105;278;9934;0.526441737748
0.02;105;97;9934;0.538792753484
0.02;105;95;9934;0.539205884493
0.02;110;274;9391;0.529452155372
0.02;110;101;9391;0.54395758356
0.02;110;99;9391;0.544143867038
0.02;115;259;8893;0.530516488404
0.02;115;96;8893;0.544611122431
0.02;115;95;8893;0.544801942676
0.02;120;245;8442;0.53093872337
0.02;120;88;8442;0.545197554711
0.02;120;87;8442;0.545402110273
0.02;125;239;8067;0.533390747207
0.02;125;94;8067;0.547087734824
0.02;125;93;8067;0.547436131941
0.02;130;220;7681;0.534179562352
0.02;130;90;7681;0.547886968992
0.02;130;89;7681;0.548245629227
0.02;135;215;7331;0.534422196245
0.02;135;86;7331;0.548260883042
0.02;135;85;7331;0.548575338109
0.02;140;202;7028;0.534976120701
0.02;140;83;7028;0.548862314666
0.02;140;82;7028;0.549181615787
0.02;145;196;6718;0.535834710283
0.02;145;83;6718;0.549727316033
0.02;145;81;6718;0.549838145405
0.02;150;190;6427;0.536315893561
0.02;150;76;6427;0.550011967981
0.02;150;74;6427;0.550293217292
0.02;155;187;6150;0.537475071747
0.02;155;77;6150;0.551087137689
0.02;155;75;6150;0.551238621827
0.02;160;182;5932;0.53770797487
0.02;160;78;5932;0.551558014659
0.02;160;76;5932;0.551716729579
0.02;165;174;5710;0.538885256955
0.02;165;78;5710;0.552194441323
0.02;165;77;5710;0.552374020058
0.02;170;167;5499;0.539119875697
0.02;170;76;5499;0.552247458039
0.02;170;75;5499;0.552585809451
0.02;175;159;5284;0.539652095229
0.02;175;72;5284;0.552963043302
0.02;175;71;5284;0.553099851377
0.02;180;152;5109;0.539762720469
0.02;180;69;5109;0.553183389377
0.02;180;68;5109;0.55350244585
0.02;185;145;4938;0.541697372755
0.02;185;70;4938;0.554663345558
0.02;185;69;4938;0.554984704814
0.02;190;139;4772;0.542310177588
0.02;190;68;4772;0.55512383865
0.02;190;67;4772;0.555185517502
0.02;195;145;4629;0.542425899292
0.02;195;71;4629;0.555990761964
0.02;195;70;4629;0.556021403718
0.02;200;145;4496;0.54327687544
0.02;200;72;4496;0.556876879072
0.02;200;71;4496;0.556899573742
0.025;10;439;61900;0.528938300701
0.025;10;114;61900;0.544481817874
0.025;10;112;61900;0.544487938778
0.025;15;620;56340;0.53780281857
0.025;15;194;56340;0.552093187131
0.025;15;193;56340;0.55209844252
0.025;20;776;52445;0.545121856041
0.025;20;276;52445;0.558712569659
0.025;20;271;52445;0.558719474191
0.025;25;832;46853;0.548528832173
0.025;25;306;46853;0.563053878599
0.025;25;301;46853;0.563074547716
