year;decile_1;decile_2;decile_3;decile_4;decile_5;decile_6;decile_7;decile_8;decile_9;mean;variance;max;min
1976;16;41;77;120;172;241;301;419;661;294.1402;226713.3;6678;1
1977;12;36;75;115;166;236;285;399;634;273.8991;183773.4;5775;1
1978;15;36;72;114;167;231;290;374;650;279.5803;200692.4;5849;1
1979;9;26;48;86;120;166;211;273;493;203.2991;99987.3;4134;1
1980;14;35;70;109;160;219;275;360;642;260.6521;158729.9;5113;1
1981;14;39;72;112;171;224;277;372;635;276.9496;191030.3;5543;1
1982;12;31;67;98;153;204;251;316;601;244.4633;134536.1;4445;1
1983;13;29;62;103;147;195;241;328;563;240.6636;127430.9;3864;1
1984;13;37;67;119;182;234;289;369;662;279.4165;162837.1;4447;1
1985;14;37;71;122;182;248;307;406;727;299.4727;191017.8;4816;1
1986;18;42;80;127;188;247;301;416;697;299.032;176627.7;4466;1
1987;18;49;87;150;224;296;369;535;800;352.7156;229303.5;4676;1
1988;17;44;70;127;196;275;347;461;744;326.9385;211637.8;4606;1
1989;23;51;87;169;236;332;417;583;888;399.8719;327024.5;5662;1
1990;17;50;82;150;222;291;369;522;780;365.4614;292214.8;5637;1
1991;20;51;82;154;229;307;399;568;924;390.4483;337855;5739;1
1992;20;49;89;152;224;304;382;548;938;393.6583;357777.8;5877;1
1993;20;49;90;151;226;306;379;541;941;401.6636;390372.2;6315;1
1994;19;47;80;153;226;304;381;569;972;405.071;387617.2;5546;1
1995;19;48;93;149;214;292;393;555;985;406.1037;392774.6;5773;1
1996;17;53;94;152;223;317;427;596;1078;440.2546;457911;6224;1
1997;16;45;88;152;216;309;424;607;1047;445.3172;552160.6;7287;1
1998;23;59;115;196;280;392;529;814;1539;587.4019;912889.9;8562;1
1999;19;58;107;189;300;410;554;844;1524;600.7225;980911.4;8708;1
2000;13;51;106;171;293;412;561;865;1512;601.2177;1008556;9129;1
2001;15;55;107;187;292;421;554;896;1599;639.5642;1229515;10991;1
2002;13;51;99;189;284;406;569;903;1612;642.016;1288216;11610;1
2003;12;48;94;187;288;409;570;921;1645;653.7271;1314220;11994;1
2004;11;42;89;159;252;390;526;870;1852;636.524;1236484;12254;1
2005;8;41;81;150;222;341;486;770;1559;564.9542;970274.8;10808;1
2006;9;43;82;152;242;349;551;926;1924;672.6667;1432846;11591;1
2007;8;40;73;134;211;311;501;827;1655;608.8023;1221505;11304;1
2008;6;34;70;116;195;296;481;839;1662;602.8242;1225235;10829;1
2009;7;34;76;130;193;299;500;837;1673;623.7724;1292993;9411;1
2010;7;45;90;162;253;372;598;1023;2209;798.8705;2278697;13059;1
2011;8;43;91;167;265;398;638;1022;2161;815.4897;2414060;12989;1
2012;7;44;97;170;298;436;688;1169;2403;915.7762;3111765;12400;1
2013;9;46;108;188;310;458;733;1237;2440;995.7094;3795611;14219;1
