year;decile_1;decile_2;decile_3;decile_4;decile_5;decile_6;decile_7;decile_8;decile_9;mean;variance;max;min
1976;14;34;75;113;175;232;300;395;639;277.7563;170193;5289;1
1977;15;39;75;118;172;229;294;386;646;275.778;166318.6;5235;1
1978;15;39;72;115;172;236;285;371;658;275.8142;168249.8;5139;1
1979;13;36;73;112;167;237;283;375;691;274.3804;167540.3;5135;1
1980;15;39;77;125;179;234;290;367;671;280.0713;168324;5065;1
1981;14;36;67;120;170;220;278;357;624;268.5849;155902.6;4641;1
1982;10;33;65;113;173;223;283;375;646;270.9227;162087.1;4744;1
1983;16;34;67;111;169;213;257;366;597;260.2023;144602.9;4284;1
1984;15;37;71;119;173;235;282;398;663;283.5695;169422.8;4469;1
1985;18;42;72;124;185;248;304;425;658;303.6644;197874;4679;1
1986;16;43;75;127;198;261;326;437;713;317;211996;4802;1
1987;20;47;80;136;201;278;351;474;778;340.0592;246921.3;4969;1
1988;19;48;89;149;222;293;373;521;828;372.0297;296746.3;5262;1
1989;22;48;91;154;222;307;381;542;899;389.1964;335883.8;5691;1
1990;18;49;88;148;231;302;382;552;907;397.6591;357387.5;5914;1
1991;22;53;98;161;238;315;386;561;957;407.6991;359457.4;5563;1
1992;21;49;89;155;224;313;406;570;1006;415.9039;406168.9;6253;1
1993;21;52;87;157;229;334;429;584;1060;433.0642;452373.3;6539;1
1994;22;56;104;179;256;354;480;677;1241;497.5335;637953.8;7550;1
1995;16;51;106;176;266;379;508;766;1409;579.4041;1096898;10461;1
1996;22;52;113;190;274;388;529;810;1510;572.947;814567.4;7062;1
1997;17;55;116;191;305;422;591;924;1736;658.4442;1189155;8982;1
1998;17;50;107;185;295;417;566;917;1580;648.8594;1195293;9776;1
1999;12;54;105;182;306;437;620;973;1757;698.8546;1455441;10541;1
2000;18;58;116;210;303;468;670;1065;1989;771.1697;1751980;11405;1
2001;15;65;120;211;327;491;707;1135;2189;823.4562;2030928;12852;1
2002;11;57;113;199;316;484;676;1146;2084;799.3326;1963701;13965;1
2003;11;54;108;190;301;459;632;1046;2012;762.2311;1774610;13780;1
2004;9;44;99;181;278;426;609;993;1938;742.2209;1740491;13637;1
2005;7;39;84;162;257;405;617;979;1973;729.2721;1725612;13031;1
2006;8;42;97;155;244;379;607;1009;1998;728.595;1731503;12101;1
2007;7;42;87;152;246;359;561;998;1989;713.1439;1644511;10694;1
2008;8;38;75;137;215;334;547;931;1710;666.0594;1444958;10432;1
2009;6;31;63;122;197;283;456;784;1564;570.4065;1080986;9096;1
2010;6;26;55;94;160;240;385;653;1193;475.0858;796175.4;8895;1
2011;5;18;32;59;95;148;243;406;739;306.5141;378140.8;6653;1
2012;3;8;16;29;45;68;100;168;338;140.2738;82408.29;2556;1
2013;1;2;3;4;5;8;12;19;35;13.99383;584.5802;192;1
