yearrange;count
1976-1980;329587
1977-1981;327734
1978-1982;326780
1979-1983;322764
1980-1984;324135
1981-1985;329119
1982-1986;340296
1983-1987;356779
1984-1988;385403
1985-1989;414481
1986-1990;442404
1987-1991;467573
1988-1992;489995
1989-1993;508164
1990-1994;535368
1991-1995;580674
1992-1996;625294
1993-1997;690978
1994-1998;751181
1995-1999;808729
1996-2000;861325
1997-2001;926734
1998-2002;966153
1999-2003;995391
2000-2004;1009060
2001-2005;1004373
2002-2006;982232
2003-2007;952376
2004-2008;908885
2005-2009;826801
2006-2010;698809
2007-2011;535859
2008-2012;359613
