yearrange;count
1976-1978;197371
1977-1979;197304
1978-1980;197813
1979-1981;196153
1980-1982;195460
1981-1983;190548
1982-1984;193705
1983-1985;200152
1984-1986;213685
1985-1987;228104
1986-1988;246832
1987-1989;267890
1988-1990;285777
1989-1991;295855
1990-1992;303618
1991-1993;312592
1992-1994;335685
1993-1995;376456
1994-1996;412985
1995-1997;459228
1996-1998;483099
1997-1999;519120
1998-2000;546803
1999-2001;588538
2000-2002;616652
2001-2003;617165
2002-2004;601446
2003-2005;585023
2004-2006;575379
2005-2007;559968
2006-2008;521677
2007-2009;446015
2008-2010;331456
2009-2011;202353
2010-2012;92780
